Handle,Predict 1,Predict 2,Predict 3,Predict 4,Predict 5,Has Description
ahsap-topuk-torpusu,Sağlık ve Güzellik > Kişisel Bakım > Kozmetik > Kozmetik Aletleri > Cilt Bakım Aletleri > Ayak Törpüleri,Sağlık ve Güzellik > Kişisel Bakım > Sırt Bakımı,Sağlık ve Güzellik > Kişisel Bakım > Ayak Bakımı,Sağlık ve Güzellik > Kişisel Bakım > Kozmetik > Tırnak Bakımı,Sağlık ve Güzellik > Mücevher Temizlik ve Bakımı,true
bokoma-kafa-masaj-aleti,Sağlık ve Güzellik > Kişisel Bakım > Masaj ve Rahatlama > Masaj Aletleri,Sağlık ve Güzellik > Kişisel Bakım > Masaj ve Rahatlama > Masaj Aletleri > Masaj Minderleri,Sağlık ve Güzellik > Kişisel Bakım > Masaj ve Rahatlama > Masaj Aletleri > Elektrikli Masaj Aletleri,Sağlık ve Güzellik > Kişisel Bakım > Masaj ve Rahatlama > Masaj Aletleri > Manuel Masaj Araçları,Sağlık ve Güzellik > Kişisel Bakım > Masaj ve Rahatlama > Masaj Masaları,true
speed-out-hasar-gormus-vida-cikarici,Hırdavat > Yapı Malzemeleri > Yalıtım,Hırdavat > Tesisat Aksesuarları > Teçhizat Bağlama Elemanları > Vidalar,Ev ve Bahçe > Acil Durum Hazırlığı > Mobilya Sabitleyiciler,Hırdavat > Sıhhi Tesisat > Sıhhi Tesisat Bağlantı Parçaları > Duvara Monte Taşıyıcılar ve Montaj Askıları,Ev ve Bahçe > Ev Aleti Aksesuarları > Vantilatör Aksesuarları,true
tukenmez-buz-kupleri-20-adet,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Gereçleri ve Aletleri > Buz Küpü Kalıpları,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aletleri > Buz Yapıcılar,İş ve Endüstri > Yemek Servisi > Buz Kutuları,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aletleri > Buzdolapları,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aleti Aksesuarları > Buz Yapıcı Aksesuarları,true
cekic-parmak-yastigi,Sağlık ve Güzellik > Kişisel Bakım > Kozmetik > Kozmetik Aletleri > Tırnak Bakım Aletleri > Manikür ve Pedikür Parmak Ayraçları,Sağlık ve Güzellik > Kişisel Bakım > Kozmetik > Kozmetik Aletleri > Makyaj Aletleri > Kirpik Kıvırıcılar,Sağlık ve Güzellik > Kişisel Bakım > Kulak Bakımı > Kulak Şırıngaları,Hırdavat > Alet Aksesuarları > Çekiç Aksesuarları,Sağlık ve Güzellik > Kişisel Bakım > Kozmetik > Kozmetik Aletleri,true
duzgun-sac-kesme-terazisi-2li,Sağlık ve Güzellik > Kişisel Bakım > Saç Bakımı > Saç Şekillendirme Aletleri,Hırdavat > Aletler > Alet Bıçakları,Sağlık ve Güzellik > Kişisel Bakım > Saç Bakımı > Saç Şekillendirme Aletleri > Saç Düzleştiriciler,Sağlık ve Güzellik > Kişisel Bakım > Saç Bakımı > Saç Şekillendirme Aletleri > Saç Maşaları,Hırdavat > Alet Aksesuarları > Kesici Aksesuarları,true
lavabo-acici-turbo-sink-snake-lavabo-acici-2-adet,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Gereçleri ve Aletleri > Lavabo Kenarı Düzenleyicileri,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri > Ev Temizlik Ürünleri > Tuvalet Temizleyicileri,Hırdavat > Sıhhi Tesisat > Su Tahliye Teçhizatı ve Parçaları > Lavabo Aksesuarları,Hırdavat > Sıhhi Tesisat > Su Tahliye Teçhizatı ve Parçaları > Lavabo Aksesuarları > Lavabo Ayakları,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Gereçleri ve Aletleri > Lavabo Paspasları ve Izgaraları,true
akilli-anahtar-organizeri-12-anahtar-hazneli-anahtarlik-clever-key-smart,Hırdavat > Kilitler ve Anahtarlar > Anahtar Başlıkları,Hırdavat > Aletler > Alet Anahtarları,Elektronik > Elektronik Alet Aksesuarları > Ses ve Görüntü Ayırıcıları ve Anahtarları,Hırdavat > Kilitler ve Anahtarlar > Ham Anahtarlar,Hırdavat > Kilitler ve Anahtarlar,true
bel-ve-kalca-form-aleti-waist-twisting-disc,Spor Malzemeleri > Egzersiz ve Fitness > El Egzersiz Aletleri,Spor Malzemeleri > Egzersiz ve Fitness > Egzersiz Bantları,Spor Malzemeleri > Egzersiz ve Fitness > Egzersiz Makineleri ve Ekipman Setleri,Spor Malzemeleri > Egzersiz ve Fitness > Egzersiz Sehpaları,Spor Malzemeleri > Egzersiz ve Fitness > Denge Eğitim Aletleri,true
mikrofiber-duster-toz-alici-asorti,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri > Ev Temizlik Ürünleri > Kumaş ve Döşeme Temizleyiciler,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri > Kumaş ve Döşeme Koruyucular,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri > Ev Temizlik Ürünleri,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri > Ev Temizlik Ürünleri > Tufal ve Kireç Gidericiler,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri,true
topuklu-ayakkabi-altina-yapisan-kaydirmaz-tabanlik,Kıyafet ve Aksesuarlar > Ayakkabı Aksesuarları > Ayakkabı Bağcıkları,Oyuncaklar ve Oyunlar > Oyuncaklar > Spor Oyuncakları > Ayak topları,Kıyafet ve Aksesuarlar > Ayakkabı Aksesuarları,Kıyafet ve Aksesuarlar > Ayakkabı Aksesuarları > Ayakkabı Astarları,Kıyafet ve Aksesuarlar > Kostümler ve Aksesuarlar > Kostüm Ayakkabıları,true
ahsap-denge-oyunu-jenga-54-parca,Oyuncaklar ve Oyunlar > Oyunlar > İskambil Oyunları,Oyuncaklar ve Oyunlar > Oyuncaklar > Yapı Oyuncakları > Tahta Bloklar,Oyuncaklar ve Oyunlar > Oyuncaklar > Yapı Oyuncakları > Köpük Bloklar,Oyuncaklar ve Oyunlar > Oyuncaklar > Yapı Oyuncakları > Birbirine Geçen Bloklar,Oyuncaklar ve Oyunlar > Oyunlar > Dizme Oyunları,true
cekcekli-pratik-cam-silme-aparati-kisa,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri > Ev Temizlik Ürünleri > Cam ve Yüzey Temizleyiciler,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri > Ev Temizlik Ürünleri > Cam ve Yüzey Temizleyiciler > Cam Temizleyiciler,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri > Ev Temizlik Ürünleri > Cam ve Yüzey Temizleyiciler > Çoklu Yüzey Temizleyicileri,Büro Malzemeleri > Ofis Ekipmanları,Büro Malzemeleri > Ofis Aletleri,true
lcd-ekranli-dijital-isikli-mutfak-tartisi,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aletleri,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aleti Aksesuarları > Yiyecek Öğütücü Aksesuarları,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aletleri > Fritözler,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aletleri > Et Dilimleyiciler,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aleti Aksesuarları > Taşınabilir Pişirme Ocağı Aksesuarları,true
ozel-kutulu-mini-dikis-seti,Sanat ve Eğlence > Hobiler ve Sanatsal Çalışmalar > Sanatlar ve El İşleri > Sanat ve El İşi Setleri > Dikiş Setleri,Ev ve Bahçe > Ev Sarf Malzemeleri > Saklama ve Düzenleme > Ev Çekmece Düzenleyicileri,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri > Çekçekler,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri,Ev ve Bahçe > Ev Sarf Malzemeleri > Saklama ve Düzenleme > Ev Eşyası Saklama Çekmeceleri,true
avometre-dijital-olcu-aleti-multimetre,Elektronik > Elektronik Alet Aksesuarları > Güç > Bataryalar,Elektronik > Elektronik Alet Aksesuarları > Güç > Batarya Aksesuarları,Hırdavat > Alet Aksesuarları > Elektrikli Alet Bataryaları,Elektronik > Elektronik Alet Aksesuarları > Güç > Bataryalar > Fotoğraf Makinesi Bataryaları,Elektronik > Elektronik Alet Aksesuarları > Güç > Bataryalar > Dizüstü Bilgisayar Bataryaları,true
serce-parmak-bunyon-koruyucu-2-adet,Kıyafet ve Aksesuarlar > Ayakkabı Aksesuarları > Ayakkabı Bağcıkları,Kıyafet ve Aksesuarlar > Kıyafet Aksesuarları > Kulak Koruyucular,Kıyafet ve Aksesuarlar > Ayakkabı Aksesuarları,Sağlık ve Güzellik > Kişisel Bakım > Ayak Bakımı > Bunyon Bakımı Malzemeleri,Kıyafet ve Aksesuarlar > Ayakkabı Aksesuarları > Galoşlar,true
bisiklet-tamir-anahtari-15-in-1-06mm-17mm,Spor Malzemeleri > Açık Hava Etkinlikleri > Bisiklet > Bisiklet Aksesuarları > Bisiklet Kilitleri,Spor Malzemeleri > Açık Hava Etkinlikleri > Bisiklet > Bisiklet Parçaları > Bisiklet Sele Boruları,Spor Malzemeleri > Açık Hava Etkinlikleri > Bisiklet > Bisiklet Aksesuarları > Bisiklet Sele Süngerleri ve Koltuk Kılıfları,Spor Malzemeleri > Açık Hava Etkinlikleri > Bisiklet > Bisiklet Parçaları > Bisiklet Sele Kelepçeleri,Spor Malzemeleri > Açık Hava Etkinlikleri > Bisiklet > Bisiklet Aksesuarları > Bisiklet Aynaları,true
ahsap-oda-termometresi,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Termometreleri,Hırdavat > Aletler > Ölçüm Aletleri ve Sensörler > Nem Ölçerler,Ev ve Bahçe > Ev Aleti Aksesuarları > Termosifon Aksesuarları,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Gereçleri ve Aletleri > Pişirme Termometresi Aksesuarları,Ev ve Bahçe > Ev Aleti Aksesuarları > Hava Arıtıcı Aksesuarları,true
sunger-hazneli-sivi-sabunluk,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aleti Aksesuarları > Buzdolabı Aksesuarları,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aleti Aksesuarları > Su Soğutucu Aksesuarları,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aleti Aksesuarları > Vakumlu Saklama Aksesuarları,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aleti Aksesuarları > Şarap Dolabı Aksesuarları,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aleti Aksesuarları > Su Soğutucu Aksesuarları > Su Soğutucu Şişeleri,true
deterjan-hazneli-bulasik-fircasi,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aletleri > Bulaşık Makineleri,Hırdavat > Aletler > Baca Temizlik Fırçaları,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aletleri > Buz Kırıcılar ve Tıraşlayıcılar,Hırdavat > Aletler > Boru Temizleme Fırçaları,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aletleri > Buzdolapları,true
sungermatik-3-adet-bulasik-sungeri,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri > Ev Temizlik Ürünleri > Bulaşık Deterjan ve Sabunları,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri > Ev Temizlik Ürünleri > Bulaşık Makinesi Deterjanları,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri > Ev Temizlik Ürünleri,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri > Süpürgeler,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri > Süngerler ve Ovma Bezleri,true
gidi-giderici-neckline-slimmer,Sağlık ve Güzellik > Kişisel Bakım > Kozmetik > Cilt Bakımı > Yüz Temizleyiciler,Sağlık ve Güzellik > Kişisel Bakım > Kozmetik > Cilt Bakımı > Losyon ve Nemlendirici,Sağlık ve Güzellik > Kişisel Bakım > Kozmetik > Cilt Bakımı > Yüz Temizleme Setleri,Sağlık ve Güzellik > Kişisel Bakım > Kozmetik > Cilt Bakımı > Dudak Merhem ve Tedavileri > Dudak Nemlendiricileri,Sağlık ve Güzellik > Kişisel Bakım > Kozmetik > Cilt Bakımı > Makyaj Temizleyiciler,true
teleskopik-cekcekli-cam-silme-aparati-uzun,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri > Ev Temizlik Ürünleri > Cam ve Yüzey Temizleyiciler,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri > Ev Temizlik Ürünleri > Cam ve Yüzey Temizleyiciler > Cam Temizleyiciler,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri > Ev Temizlik Ürünleri > Cam ve Yüzey Temizleyiciler > Çoklu Yüzey Temizleyicileri,Hırdavat > Yapı Malzemeleri > Cam,Hırdavat > Aletler > Kesiciler > Cam Kesiciler,true
paslanmaz-burun-makasi,Sağlık ve Güzellik > Kişisel Bakım > Kulak Bakımı > Kulak Mumları,Sağlık ve Güzellik > Kişisel Bakım > Ağız Bakımı > Diş Macunları,Sağlık ve Güzellik > Sağlık Hizmetleri > İlaç Kutuları,Sağlık ve Güzellik > Kişisel Bakım > Ağız Bakımı > Kürdanlar,Bebek ve Küçük Çocuk Ürünleri > Bebek Sağlığı > Burun Aspiratörleri,true
kredi-karti-seklinde-cep-fener-lamba,Elektronik > Elektronik Alet Aksesuarları > Bellek > Flash Bellek,Elektronik > Elektronik Alet Aksesuarları,Elektronik > Video > Video Aksesuarları,Hırdavat > Elektrik Sarf Malzemeleri > Elektrik Anahtarları > Aydınlatma Anahtarları,Kameralar ve Optik Malzemeler > Fotoğrafçılık > Işıklandırma ve Stüdyo > Işık Kumandaları > Flaş Reflektörleri,true
mangal-yelpazesi,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aleti Aksesuarları,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aleti Aksesuarları > Yiyecek Öğütücü Aksesuarları,Ev ve Bahçe > Mutfak ve Yemek > Yiyecek Saklama Aksesuarları,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aleti Aksesuarları > Mikser ve Blender Aksesuarları,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aletleri,true
mini-dikis-makinesi-seyahat-tipi,Mobilyalar > Masalar > Dikiş Makinesi Masaları,Hırdavat > Aletler > Yiv Açma Makineleri,Sanat ve Eğlence > Hobiler ve Sanatsal Çalışmalar > Sanatlar ve El İşleri > Sanat ve El İşi Araçları > Kumaş El İşi Makineleri > Dikiş Makineleri,Hırdavat > Aletler > Kumlama Makineleri,Ev ve Bahçe > Ev Aletleri > Çamaşırhane Makineleri > Buharlı Elbise Temizleyiciler,true
pencere-cam-sinekligi-cift-kanat-130x150-cm,Ev ve Bahçe > Dekor > Pencere Dekoru Aksesuarları,Ev ve Bahçe > Dekor > Pencere Dekoru Aksesuarları > Perde Tutucu ve Püskülleri,Ev ve Bahçe > Dekor > Pencere Dekorları,Ev ve Bahçe > Dekor > Pencere Dekorları > Pencere Telleri,Ev ve Bahçe > Dekor > Pencere Dekoru Aksesuarları > Pencere Dekoru Yedek Parçaları,true
esnek-oyuncak-ve-camasir-filesi,Ev ve Bahçe > Ev Aletleri,Ev ve Bahçe > Ev Aleti Aksesuarları,Ev ve Bahçe > Ev Aleti Aksesuarları > Çamaşırhane Makinesi Aksesuarları,Ev ve Bahçe > Çim ve Bahçe > Bahçecilik > Bahçe Aletleri,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Gereçleri ve Aletleri,true
silikon-orta-parmak-koruyucu-2-adet-serce-parmak,Kıyafet ve Aksesuarlar > Kıyafet Aksesuarları > Kulak Koruyucular,Kıyafet ve Aksesuarlar > Ayakkabı Aksesuarları > Ayakkabı Bağcıkları,Ev ve Bahçe > Ev Sarf Malzemeleri > Ayakkabı Bakım ve Aletleri > Keratalar ve Giyim Yardımcıları,Ev ve Bahçe > Ev Sarf Malzemeleri > Ayakkabı Bakım ve Aletleri > Ayakkabı Çantaları,Ev ve Bahçe > Ev Sarf Malzemeleri > Çamaşırhane Sarf Malzemeleri > Kıyafet Koruyucular,true
araba-ici-koltuk-yani-duzenleyici2-adet,Taşıtlar ve Parçalar > Taşıt Parçaları ve Aksesuarlar > Taşıt Saklama ve Kargo > Araç Düzenleyicileri,Taşıtlar ve Parçalar > Taşıt Parçaları ve Aksesuarlar > Taşıt Saklama ve Kargo > Kamyon Kasası Saklama Kutuları ve Düzenleyicileri,Taşıtlar ve Parçalar > Taşıt Parçaları ve Aksesuarlar > Taşıt Saklama ve Kargo > Taşıt Koltuk Başlığı Askıları ve Kancaları,Hırdavat > Tesisat Aksesuarları > Alet Saklama ve Düzenleme > Takım Çantaları,Hırdavat > Tesisat Aksesuarları > Alet Saklama ve Düzenleme > Alet Çantaları,true
objektif-gorunumlu-bardak-cuplens,Ev ve Bahçe > Mutfak ve Yemek > Sofra Takımları > Bardak Takımları > Kulplu Bardaklar,Ev ve Bahçe > Mutfak ve Yemek > Sofra Takımları > Bardak Takımları > Shot Bardakları,Ev ve Bahçe > Mutfak ve Yemek > İçki Takımları > Bardak Altlıkları,Ev ve Bahçe > Mutfak ve Yemek > Sofra Takımları > Bardak Takımları > Su Bardakları,Ev ve Bahçe > Mutfak ve Yemek > Sofra Takımları > Bardak Takımları > Bardak Setleri,true
vantuzlu-bulasik-sungeri-askisi-sponge-hanger,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aletleri > Bulaşık Makineleri,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aletleri > Buz Yapıcılar,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aletleri > Buzdolapları,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Gereçleri ve Aletleri > Bulaşıklıklar ve Süzme Tezgahları,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aletleri,true
poset-cay-kahve-duzenleyici-organizer12-bolmeli,Büro Malzemeleri > Dosyalama ve Organizasyon > Takvimler, Organizerler ve Planlayıcılar,Büro Malzemeleri > Ofis Ekipmanları,Büro Malzemeleri > Ofis Aletleri,Ev ve Bahçe > Ev Sarf Malzemeleri > Saklama ve Düzenleme > Ev Çekmece Düzenleyicileri,Büro Malzemeleri > Dosyalama ve Organizasyon > Masaüstü Düzenleyicileri,true
spreyli-su-hazneli-mikrofiber-cam-silme-mopu,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri > Süpürge ve Mop Sapları,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri > Moplar,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri > Mop Başlık ve Refilleri,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri > Ev Temizlik Ürünleri > Kumaş ve Döşeme Temizleyiciler,Ev ve Bahçe > Ev Sarf Malzemeleri > Ev Temizlik Malzemeleri > Ev Temizlik Ürünleri > Cam ve Yüzey Temizleyiciler > Cam Temizleyiciler,true
ayak-bunyon-koruyucu-2-parmaga-gecen-2-adet,Sağlık ve Güzellik > Kişisel Bakım > Ayak Bakımı > Bunyon Bakımı Malzemeleri,Sağlık ve Güzellik > Kişisel Bakım > Ayak Bakımı,Sağlık ve Güzellik > Kişisel Bakım > Ayak Bakımı > Nasır ve Kallus Bakımı,Sağlık ve Güzellik > Kişisel Bakım > Ayak Bakımı > Ayakkabı Astar ve Keçeleri,Sağlık ve Güzellik > Kişisel Bakım > Ayak Bakımı > Ayak Koku Gidericiler,true
doner-baslikli-led-disko-ampulu-3-renk,Ev ve Bahçe > Aydınlatma > Ampuller,Ev ve Bahçe > Aydınlatma > Ampuller > Akkor Ampuller,Ev ve Bahçe > Aydınlatma > Ampuller > LED Ampuller,Ev ve Bahçe > Aydınlatma > Ampuller > Floresan Çubuklar,Hırdavat > Aletler > Ampul Değiştiriciler,true
2-asamali-pratik-bicak-bileyici,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aletleri > Bıçak Bileyiciler,Hırdavat > Aletler > Alet Bıçakları,Hırdavat > Aletler > Bileyiciler,Hırdavat > Aletler > Kesiciler > Çok Amaçlı Bıçaklar,Hırdavat > Aletler > Kesiciler,true
sihirli-testere-magic-saw-7-farkli-uc,Hırdavat > Aletler > Testere Tezgahları,Hırdavat > Aletler > Testereler > Şerit Testereler,Hırdavat > Aletler > Testereler > El Testereleri,Hırdavat > Alet Aksesuarları > Testere Aksesuarları,Hırdavat > Aletler > Testereler,true
pati-desenli-kaka-poseti-3lu,Hayvanlar ve Evcil Hayvan Ürünleri > Evcil Hayvan Ürünleri > Köpek Ürünleri,Hayvanlar ve Evcil Hayvan Ürünleri > Evcil Hayvan Ürünleri > Köpek Ürünleri > Köpek Kulübeleri ve Kafesleri,Hayvanlar ve Evcil Hayvan Ürünleri > Evcil Hayvan Ürünleri > Köpek Ürünleri > Köpek Yatakları,Hayvanlar ve Evcil Hayvan Ürünleri > Evcil Hayvan Ürünleri > Köpek Ürünleri > Köpek Kıyafetleri,Hayvanlar ve Evcil Hayvan Ürünleri > Evcil Hayvan Ürünleri > Köpek Ürünleri > Köpek Koşu Bantları,true
at-tasarimli-telefon-tutucu-stand-horse-holder,Elektronik > Haberleşme > Telefon İletişimi > Cep Telefonu Aksesuarları > Cep Telefonu Stantları,Elektronik > Haberleşme > Telefon İletişimi > Telefon Aksesuarları,Elektronik > Haberleşme > Telefon İletişimi > Cep Telefonu Aksesuarları,Elektronik > Haberleşme > İletişim Telsizi Aksesuarları,Elektronik > Haberleşme > Telefon İletişimi > Cep Telefonu Aksesuarları > Cep Telefonu Kılıfları,true
sac-tebesiri-hair-chalk-12-parca,Kıyafet ve Aksesuarlar > Kıyafet Aksesuarları > Saç Aksesuarları,Kıyafet ve Aksesuarlar > Kıyafet Aksesuarları > Saç Aksesuarları > Saç Topuzu ve Hacim Şekillendiricileri,Kıyafet ve Aksesuarlar > Kıyafet Aksesuarları > Saç Aksesuarları > Baş Süsleri,Kıyafet ve Aksesuarlar > Kıyafet Aksesuarları > Saç Aksesuarları > Çatal ve Çubuk Tokalar,Kıyafet ve Aksesuarlar > Kıyafet Aksesuarları > Saç Aksesuarları > Saç Bantları,true
multi-fonksiyonlu-bisiklet-on-ve-arka-lamba-seti,Spor Malzemeleri > Açık Hava Etkinlikleri > Bisiklet > Bisiklet Aksesuarları > Elektrikli Bisiklet Dönüştürme Setleri,Spor Malzemeleri > Açık Hava Etkinlikleri > Bisiklet > Bisiklet Aksesuarları > Bisiklet Lastik Yamaları ve Onarım Setleri,Ev ve Bahçe > Aydınlatma > Tablo Işıkları,Ev ve Bahçe > Aydınlatma,Spor Malzemeleri > Açık Hava Etkinlikleri > Bisiklet > Bisiklet Kıyafetleri ve Aksesuarları,true
masaustu-dijital-termometre-nem-olcer-saat-higrometre-ic-mekan,Bebek ve Küçük Çocuk Ürünleri > Emzirme ve Beslenme > Biberon Isıtıcı ve Sterilizatörler,Hırdavat > Aletler > Ölçüm Aletleri ve Sensörler > Nem Ölçerler,Bebek ve Küçük Çocuk Ürünleri > Bebek Sağlığı > Bebek Sağlığı ve Bakım Setleri,Bebek ve Küçük Çocuk Ürünleri > Emzirme ve Beslenme > Bebek Bakım Zamanlayıcıları,Bebek ve Küçük Çocuk Ürünleri > Bebek Güvenliği > Bebek İzleme Cihazları,true
bisiklet-flasoru-2-adet,Spor Malzemeleri > Açık Hava Etkinlikleri > Bisiklet > Bisiklet Aksesuarları > Bisiklet Kılıfları,Spor Malzemeleri > Açık Hava Etkinlikleri > Bisiklet > Bisiklet Aksesuarları > Bisiklet Sele Süngerleri ve Koltuk Kılıfları,Spor Malzemeleri > Açık Hava Etkinlikleri > Bisiklet > Bisiklet Aksesuarları,Spor Malzemeleri > Açık Hava Etkinlikleri > Bisiklet > Bisiklet Kıyafetleri ve Aksesuarları > Bisiklet Ayakkabısı Kılıfları,Spor Malzemeleri > Açık Hava Etkinlikleri > Bisiklet > Bisiklet Aksesuarları > Bisiklet Aynaları,true
sevimli-kahve-pasta-susleme-sablonlari-4-adet,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Gereçleri ve Aletleri > Pasta Süsleme Malzemeleri,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Gereçleri ve Aletleri > Pasta Servis Gereçleri,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aletleri > Yoğurt Makineleri,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aletleri > Ekmek Yapma Makineleri,Ev ve Bahçe > Mutfak ve Yemek > Mutfak Aletleri,true
hortum-tamir-aparati,Hırdavat > Tesisat Aksesuarları > Yağlama Hortumları,Hırdavat > Aletler > Tutma Aletleri,Hırdavat > Alet Aksesuarları > Alet Yuvaları,Hırdavat > Aletler > İşaretleme Aletleri,Ev ve Bahçe > Çim ve Bahçe > Sulama ve Tarımsal Sulama > Bahçe Hortumları,true
gece-gorusu-gorunumlu-caydirici-kamera,Ev ve Bahçe > İş ve Ev Güvenliği > Sahte Güvenlik Kameraları,Kameralar ve Optik Malzemeler > Fotoğraf Makineleri > Güvenlik Kameraları,Hırdavat > Aletler > Ölçüm Aletleri ve Sensörler > Termal Görüntüleme Kameraları,Kameralar ve Optik Malzemeler > Kamera ve Optik Aksesuarları > Fotoğraf Makinesi Parçaları ve Aksesuarları > Güvenlik Kamerası Aksesuarları,Ev ve Bahçe > İş ve Ev Güvenliği > Güvenlik Monitör ve Kayıt Cihazları,true
kafa-semsiyesi,Ev ve Bahçe > Ev Aleti Aksesuarları > Şemsiye Soba Aksesuarları > Şemsiye Soba Muhafazaları,Ev ve Bahçe > Ev Aleti Aksesuarları > Şemsiye Soba Aksesuarları,Kıyafet ve Aksesuarlar > Kıyafet Aksesuarları > Saç Aksesuarları,Hırdavat > Aletler > El ve Kafa Fenerleri > Kafa Lambaları,Hırdavat > Aletler > El ve Kafa Fenerleri,true
ozel-jel-tirnak-batik-koruyucu,Kıyafet ve Aksesuarlar > Kıyafet Aksesuarları > Kulak Koruyucular,Kıyafet ve Aksesuarlar > Ayakkabı Aksesuarları > Ayakkabı Bağcıkları,Sağlık ve Güzellik > Kişisel Bakım > Kozmetik > Tırnak Bakımı > Oje Çıkarıcılar,Kıyafet ve Aksesuarlar > Ayakkabı Aksesuarları,Kıyafet ve Aksesuarlar > Kıyafet Aksesuarları > Saç Aksesuarları > Tarak Tokalar,true
